building_type,material,age_years,area_m2,region,tilt_angle_deg,vibration_magnitude,shock_detected,temperature_c,humidity_pct,pressure_hpa,illuminance_lux,structural_status,climate_status,lighting_status,overall_status,_true_degradation_level
residential,brick,15,2883.4,temperate,1.55,0.0838,False,13.01,62.65,1019.69,339.5,normal,normal,normal,normal,0.3815
residential,brick,30,3074.4,continental,0.948,0.0381,False,-3.41,49.6,1011.33,505.0,normal,normal,normal,normal,0.3123
commercial,concrete,30,3947.8,continental,0.029,0.0801,False,27.2,57.47,1015.73,445.5,normal,normal,normal,normal,0.0502
historical,brick,17,4217.9,temperate,0.198,0.0012,False,4.01,36.18,1010.99,130.4,normal,normal,attention,attention,0.1089
residential,concrete,14,3871.9,temperate,0.293,0.0333,False,14.48,60.64,1017.74,403.5,normal,normal,normal,normal,0.219
historical,mixed,11,2268.8,temperate,1.532,0.1287,False,12.83,54.22,1007.35,286.2,normal,normal,normal,normal,0.3708
residential,concrete,92,4225.8,continental,2.47,0.1958,True,-2.1,62.73,1020.65,380.8,attention,normal,normal,attention,0.4775
historical,wood,56,1735.9,continental,0.869,0.0781,False,10.61,63.82,1008.88,309.2,normal,attention,attention,attention,0.3019
industrial,concrete,50,3530.0,continental,0.323,0.0473,False,14.36,37.18,995.72,276.5,normal,normal,normal,normal,0.1056
residential,wood,14,4923.7,temperate,2.111,0.1503,False,11.88,62.05,1017.88,208.0,attention,attention,normal,attention,0.4631
historical,brick,22,233.0,temperate,0.811,0.0844,False,17.68,45.14,1008.16,307.1,normal,normal,normal,normal,0.2964
residential,concrete,29,196.6,continental,0.541,0.0,False,29.33,46.89,1035.39,195.1,normal,normal,normal,normal,0.175
residential,mixed,13,4046.8,coastal,0.223,0.0176,False,9.35,63.45,1012.99,497.8,normal,normal,normal,normal,0.1576
residential,brick,79,1749.3,continental,0.32,0.0,False,9.02,32.32,1001.35,388.6,normal,normal,normal,normal,0.1712
commercial,concrete,82,819.4,coastal,3.434,0.2813,False,22.08,80.55,1015.75,408.3,attention,attention,normal,attention,0.5536
industrial,wood,17,4779.0,continental,0.291,0.0,False,0.61,39.6,996.44,226.8,normal,normal,normal,normal,0.1161
residential,brick,12,1074.8,temperate,0.164,0.0049,False,8.79,53.67,1012.93,252.7,normal,normal,normal,normal,0.0779
residential,wood,12,2425.3,continental,1.638,0.1507,True,-3.43,54.51,1018.58,393.9,attention,normal,normal,attention,0.3808
industrial,brick,103,1246.1,continental,1.065,0.1105,False,31.57,49.03,1019.13,228.5,attention,normal,normal,attention,0.3495
industrial,concrete,58,3023.6,temperate,3.053,0.2544,True,4.3,54.61,1013.5,197.6,attention,normal,attention,attention,0.5171
commercial,concrete,50,3480.8,temperate,1.379,0.1245,True,25.79,58.9,1018.37,469.9,attention,normal,normal,attention,0.3784
commercial,concrete,66,3334.9,arid,2.012,0.1808,False,25.31,20.45,1005.77,477.6,attention,normal,normal,attention,0.4116
commercial,concrete,46,111.7,arid,1.628,0.1175,False,21.78,31.12,1011.22,358.8,normal,normal,normal,normal,0.3936
residential,mixed,106,4397.9,temperate,3.131,0.1557,False,24.37,56.38,1006.23,289.8,attention,normal,normal,attention,0.5177
residential,brick,56,3610.6,coastal,1.977,0.2491,False,14.46,66.29,1017.81,310.8,attention,normal,normal,attention,0.418
residential,concrete,37,4776.7,temperate,0.008,0.0039,False,19.99,51.33,1004.95,303.2,normal,normal,normal,normal,0.0396
residential,concrete,109,1299.6,temperate,3.036,0.25,False,8.33,49.32,1005.97,373.1,attention,normal,normal,attention,0.5257
commercial,brick,10,1303.6,temperate,0.815,0.0475,False,5.79,58.91,1015.34,438.2,normal,normal,normal,normal,0.2887
industrial,concrete,36,938.5,continental,1.608,0.1657,False,27.24,70.29,1019.24,149.5,attention,normal,attention,attention,0.3933
industrial,mixed,14,2706.0,continental,0.245,0.033,False,29.77,58.56,1017.48,207.9,normal,normal,normal,normal,0.1489
residential,brick,41,2032.2,continental,1.168,0.1401,False,-10.68,59.55,1018.61,257.0,attention,normal,normal,attention,0.3822
residential,wood,90,4622.7,continental,2.584,0.1662,False,1.09,55.27,1022.39,327.4,attention,normal,normal,attention,0.4852
residential,mixed,12,3018.5,continental,0.216,0.0425,False,14.49,35.16,1020.06,376.5,normal,normal,normal,normal,0.2012
industrial,concrete,17,3705.6,continental,0.666,0.0477,False,19.89,43.49,1014.53,266.8,normal,normal,normal,normal,0.2239
residential,brick,48,1666.4,temperate,0.541,0.0318,False,15.31,54.31,1011.36,399.6,normal,normal,normal,normal,0.2678
industrial,concrete,68,1312.8,continental,4.529,0.3542,False,15.82,56.27,1010.78,378.9,critical,normal,normal,critical,0.6289
industrial,mixed,15,1703.9,temperate,0.106,0.0,False,7.55,56.57,1011.78,495.6,normal,normal,normal,normal,0.047
residential,concrete,47,1133.3,arid,3.314,0.271,False,28.64,29.95,1017.23,334.2,attention,normal,normal,attention,0.5568
residential,mixed,12,4667.9,coastal,0.265,0.036,False,18.55,55.43,1009.55,226.5,normal,normal,normal,normal,0.1617
residential,concrete,41,4997.1,continental,4.114,0.3524,False,23.56,63.24,1019.91,391.6,attention,normal,normal,attention,0.606
historical,wood,16,4016.9,continental,0.146,0.0128,False,5.66,39.23,1017.82,286.0,attention,normal,normal,normal,0.1089
historical,brick,38,4311.0,arid,0.627,0.0999,False,35.31,27.87,1010.31,242.9,normal,normal,normal,normal,0.2576
residential,concrete,5,475.6,temperate,0.764,0.0543,False,16.64,64.33,1009.63,358.8,normal,normal,normal,normal,0.2354
industrial,mixed,14,3686.9,continental,0.369,0.0541,True,5.64,27.1,1005.81,290.6,attention,normal,normal,attention,0.0
historical,wood,21,1608.0,continental,0.12,0.0017,False,6.21,57.83,1017.92,238.7,normal,normal,normal,normal,0.0479
residential,mixed,34,3413.7,temperate,0.0,0.0,False,14.39,49.16,1009.1,293.0,normal,normal,normal,normal,0.0907
residential,brick,71,544.2,temperate,0.0,0.0,False,14.73,60.36,1020.74,412.6,normal,normal,normal,normal,0.125
residential,brick,22,4894.2,continental,0.558,0.0169,False,16.85,70.77,1019.95,452.2,normal,attention,normal,attention,0.2151
residential,concrete,80,1987.9,temperate,4.915,0.3511,False,10.65,69.27,1009.23,346.9,critical,normal,normal,critical,0.6528
residential,wood,55,1324.2,arid,2.95,0.246,True,36.59,33.08,1008.13,300.1,attention,attention,normal,attention,0.5093
residential,wood,35,2507.3,continental,1.015,0.0384,False,34.04,55.02,1021.59,314.9,normal,normal,normal,normal,0.2982
residential,concrete,81,2991.6,coastal,0.216,0.0326,False,5.6,75.93,1006.02,127.8,normal,attention,attention,attention,0.1063
residential,wood,21,168.7,continental,0.179,0.0,False,9.73,52.75,1002.5,427.4,normal,normal,normal,normal,0.0
residential,brick,89,2054.7,arid,7.781,0.6366,False,23.29,36.79,1006.01,385.1,critical,normal,normal,critical,0.8372
industrial,mixed,38,273.3,coastal,0.111,0.062,False,16.12,62.44,1008.96,279.7,normal,normal,normal,normal,0.0724
residential,mixed,59,516.7,coastal,3.468,0.3205,False,9.97,73.71,1011.85,394.5,attention,attention,normal,attention,0.5796
industrial,mixed,83,1839.9,temperate,5.41,0.4559,False,10.97,56.69,1021.86,337.0,critical,normal,normal,critical,0.7118
industrial,concrete,69,293.1,temperate,1.305,0.1322,False,18.91,63.69,1012.95,266.5,attention,normal,normal,attention,0.3557
industrial,mixed,43,4731.2,temperate,0.916,0.0875,False,16.09,66.18,1007.53,373.7,normal,attention,normal,attention,0.2935
residential,mixed,48,2565.6,continental,0.0,0.0336,False,14.33,67.26,1003.87,338.5,normal,attention,normal,attention,0.0
industrial,concrete,41,3258.5,arid,3.759,0.3711,False,39.28,38.56,1011.79,242.0,critical,normal,normal,critical,0.5859
residential,wood,76,3738.8,temperate,4.926,0.3265,False,14.02,47.12,1025.58,318.7,critical,normal,normal,critical,0.6694
residential,concrete,35,1820.5,continental,1.347,0.0871,False,2.53,49.22,1006.43,261.7,normal,normal,normal,normal,0.3464
commercial,mixed,22,923.0,continental,0.605,0.0724,False,11.59,59.47,1015.54,521.6,normal,normal,normal,normal,0.2893
residential,wood,29,4994.2,continental,0.443,0.025,False,24.38,26.45,1013.64,399.4,normal,normal,normal,normal,0.207
commercial,concrete,26,4246.8,coastal,2.728,0.2465,False,17.48,68.12,1020.18,307.5,attention,normal,normal,attention,0.5015
residential,brick,13,4178.9,continental,0.116,0.0243,False,5.3,40.2,1016.12,258.3,normal,normal,normal,normal,0.0
residential,mixed,86,3890.2,arid,2.452,0.1757,True,33.23,32.69,998.93,445.2,attention,normal,normal,attention,0.4926
historical,brick,101,1017.7,continental,0.649,0.0636,False,14.54,56.65,1018.62,269.1,normal,normal,normal,normal,0.2797
commercial,mixed,106,2345.9,temperate,3.592,0.2785,False,13.49,61.53,1012.74,395.8,critical,normal,normal,critical,0.5741
residential,wood,43,3925.4,temperate,1.653,0.0483,False,17.25,46.47,1019.47,283.5,normal,normal,normal,normal,0.3672
residential,wood,54,2660.9,arid,2.133,0.2191,False,25.43,39.12,1009.4,335.7,attention,normal,normal,attention,0.4763
industrial,concrete,63,3986.4,coastal,3.443,0.3455,False,17.49,80.11,1022.79,244.3,critical,attention,normal,critical,0.5579
industrial,concrete,56,1541.5,arid,0.267,0.0204,False,22.76,17.83,1002.5,257.0,normal,normal,normal,normal,0.1037
residential,brick,32,301.9,arid,0.43,0.035,False,28.28,46.4,1007.67,211.0,normal,attention,normal,normal,0.2407
commercial,concrete,2,3220.2,temperate,0.0,0.0,False,14.32,56.27,1006.92,403.3,normal,normal,normal,normal,0.0
residential,brick,86,416.6,temperate,1.087,0.0955,False,14.45,56.11,1012.82,234.6,normal,normal,normal,normal,0.3257
residential,concrete,37,1269.4,arid,0.144,0.0,False,27.51,32.77,1007.54,288.0,normal,normal,normal,normal,0.063
residential,concrete,44,3136.6,temperate,0.058,0.0,False,8.69,44.09,1012.13,417.4,normal,normal,normal,normal,0.1261
commercial,concrete,34,2521.0,continental,1.03,0.1049,False,27.55,54.49,1021.47,255.1,normal,normal,attention,attention,0.3346
residential,concrete,67,521.2,temperate,2.558,0.1527,True,13.04,54.23,1012.11,314.6,attention,normal,normal,attention,0.4865
residential,concrete,77,2526.0,arid,4.252,0.3044,False,24.94,27.73,1010.85,403.1,critical,normal,normal,critical,0.6428
commercial,concrete,95,2227.1,coastal,1.383,0.1357,False,12.41,73.22,1014.49,457.0,attention,normal,normal,attention,0.3589
residential,wood,21,4260.1,continental,0.005,0.0,True,17.94,52.78,1009.87,326.1,attention,normal,normal,attention,0.0
residential,concrete,33,2251.2,continental,3.235,0.2552,True,7.49,50.84,1020.43,368.8,attention,normal,normal,attention,0.5292
commercial,wood,42,2412.3,temperate,0.122,0.0437,False,15.61,58.01,1000.95,364.9,normal,normal,normal,normal,0.0345
historical,wood,97,260.6,temperate,0.711,0.0379,False,11.67,63.45,1019.43,239.6,normal,attention,normal,attention,0.2418
industrial,brick,40,2774.1,temperate,0.179,0.0,False,21.15,40.34,1011.1,212.5,normal,normal,normal,normal,0.0
historical,brick,53,1876.5,temperate,0.0,0.0,False,6.9,55.39,1022.63,157.0,normal,normal,normal,normal,0.0718
commercial,mixed,102,487.6,continental,1.356,0.179,False,12.94,45.83,1000.79,467.2,attention,normal,normal,attention,0.3676
residential,mixed,34,751.1,temperate,0.317,0.0267,False,12.42,54.13,1017.78,325.5,normal,normal,normal,attention,0.149
commercial,concrete,60,2309.9,temperate,1.062,0.077,False,13.26,50.43,1014.19,385.5,normal,normal,normal,normal,0.31
historical,mixed,48,3948.4,continental,1.089,0.047,False,15.21,35.77,1017.01,339.8,attention,normal,normal,normal,0.2624
historical,brick,58,499.0,continental,2.628,0.1863,False,9.16,37.22,1004.33,295.2,attention,normal,normal,attention,0.4886
residential,concrete,65,1989.6,temperate,1.472,0.076,False,20.54,77.63,1016.96,288.9,normal,attention,normal,attention,0.3467
industrial,concrete,83,2498.3,temperate,11.055,0.8975,False,4.14,54.07,1009.38,184.2,critical,normal,attention,critical,1.0
residential,concrete,24,4642.0,temperate,0.045,0.0,False,15.34,56.18,1005.28,354.3,normal,normal,normal,normal,0.1527
residential,brick,51,4646.2,continental,0.818,0.087,False,17.55,62.7,1016.05,357.6,normal,normal,normal,normal,0.2879
residential,mixed,66,3862.4,arid,5.016,0.3899,False,28.12,39.15,1012.48,365.9,critical,normal,normal,critical,0.6858
residential,mixed,35,2537.4,continental,0.982,0.0847,False,3.71,65.82,1018.38,357.8,normal,attention,normal,attention,0.2995
historical,mixed,21,4100.2,continental,0.287,0.108,False,1.37,40.44,1009.45,324.9,normal,normal,normal,normal,0.1749
commercial,concrete,88,970.6,temperate,1.483,0.0882,False,9.34,64.88,1020.81,498.4,normal,normal,normal,normal,0.3543
residential,mixed,37,2110.0,temperate,1.429,0.1281,True,18.62,79.81,1010.76,368.8,attention,attention,normal,attention,0.3595
industrial,concrete,53,2709.0,temperate,0.352,0.0413,False,3.86,57.28,1011.92,282.8,normal,normal,normal,normal,0.2137
commercial,mixed,31,4553.5,arid,1.459,0.1456,False,35.33,21.79,1018.89,451.1,attention,normal,normal,attention,0.3722
commercial,wood,16,4220.2,coastal,0.438,0.0506,False,19.39,58.32,1014.91,347.0,normal,normal,normal,normal,0.1943
residential,brick,61,4861.7,arid,0.437,0.0384,True,12.34,26.2,1006.28,443.3,attention,normal,normal,attention,0.164
historical,brick,4,2184.2,continental,0.0,0.0,False,7.66,60.88,1018.82,298.7,normal,normal,normal,normal,0.1411
residential,mixed,44,1350.5,coastal,0.411,0.0,False,24.18,74.92,1012.08,372.2,normal,attention,normal,attention,0.1077
commercial,mixed,127,392.2,arid,2.869,0.2434,False,19.0,27.5,1007.46,410.8,attention,normal,normal,attention,0.4949
residential,concrete,27,4946.0,temperate,1.666,0.171,False,17.98,55.96,1015.2,382.4,attention,normal,normal,attention,0.3843
commercial,concrete,77,792.2,coastal,5.959,0.5047,False,10.24,72.08,1013.56,410.7,critical,normal,normal,critical,0.7345
industrial,brick,46,1828.1,temperate,2.541,0.2096,False,24.01,66.46,1017.5,349.7,attention,normal,normal,attention,0.4941
industrial,mixed,3,4663.1,continental,0.0,0.0144,False,27.76,45.35,1023.96,229.3,normal,normal,normal,normal,0.0
residential,brick,47,389.7,continental,1.418,0.1063,False,-8.39,61.82,1010.86,300.9,normal,normal,normal,normal,0.3607
commercial,concrete,32,2720.2,continental,0.0,0.0,False,17.06,62.36,1011.43,472.5,normal,normal,normal,normal,0.0599
commercial,concrete,19,4371.3,continental,0.239,0.0,False,23.32,41.2,1025.85,399.4,normal,normal,normal,normal,0.0142
industrial,concrete,43,1005.5,temperate,0.573,0.1007,False,21.17,58.31,1006.89,280.6,normal,normal,normal,normal,0.2287
residential,concrete,13,4424.1,continental,0.111,0.0246,False,5.49,59.23,1011.34,415.5,normal,normal,normal,normal,0.0
residential,mixed,22,2127.8,temperate,0.0,0.0,False,7.87,47.26,1008.78,314.8,normal,normal,normal,normal,0.0
residential,concrete,27,4154.0,continental,0.032,0.0229,True,31.8,52.61,1007.95,347.1,attention,attention,normal,attention,0.0
commercial,concrete,66,906.0,temperate,1.13,0.1437,False,1.84,70.28,1009.71,494.2,attention,normal,normal,attention,0.2965
residential,brick,49,3039.5,temperate,0.968,0.0635,False,15.74,57.65,1009.48,464.9,normal,normal,normal,normal,0.2545
commercial,concrete,78,4189.2,temperate,3.893,0.3011,False,11.75,66.38,1019.89,469.6,attention,normal,normal,attention,0.5957
commercial,brick,50,4715.4,coastal,2.09,0.1947,False,15.56,85.57,1010.13,311.2,attention,critical,normal,critical,0.4409
residential,mixed,27,2496.6,temperate,2.906,0.2254,False,22.97,71.27,1023.09,274.7,attention,attention,normal,attention,0.4938
commercial,concrete,45,4444.4,continental,1.741,0.1202,False,26.47,65.73,1007.07,443.0,normal,normal,normal,normal,0.4116
industrial,concrete,41,4239.4,coastal,1.923,0.0971,False,24.19,53.75,1013.72,383.1,attention,normal,normal,attention,0.4064
historical,brick,69,4481.1,temperate,0.21,0.0616,False,12.65,50.26,1001.86,249.4,normal,normal,normal,normal,0.2046
historical,wood,14,2934.3,temperate,1.799,0.1018,False,15.54,58.23,1007.08,250.4,normal,normal,normal,normal,0.3788
industrial,concrete,80,3459.3,continental,2.211,0.1598,False,8.12,48.46,1028.12,323.3,attention,normal,normal,attention,0.4628
residential,brick,65,4954.8,temperate,0.71,0.0725,False,10.8,43.3,1010.92,316.2,normal,normal,normal,normal,0.2589
residential,mixed,33,1396.6,continental,0.646,0.0943,False,-11.28,67.11,1018.63,332.3,normal,attention,normal,attention,0.2319
historical,brick,52,3633.9,arid,0.392,0.0211,False,32.63,28.08,1012.48,281.5,normal,normal,normal,normal,0.191
residential,brick,62,4213.5,coastal,2.445,0.1955,True,17.63,68.6,1005.16,355.4,attention,normal,normal,attention,0.4731
residential,brick,10,3474.8,continental,0.0,0.0,False,-5.17,34.71,1005.64,488.2,normal,normal,normal,normal,0.0331
commercial,concrete,8,353.5,continental,0.0,0.0306,False,22.55,48.0,1011.24,510.0,normal,attention,normal,normal,0.0
commercial,concrete,60,3411.8,temperate,0.656,0.0559,False,11.75,39.65,1008.84,590.2,normal,normal,normal,normal,0.2859
residential,wood,63,1890.0,temperate,1.334,0.0708,False,11.03,69.05,1016.01,380.8,normal,attention,normal,attention,0.3391
residential,concrete,16,4700.7,continental,1.45,0.1247,False,16.88,50.39,1009.85,427.6,normal,normal,normal,normal,0.3502
commercial,mixed,94,1285.3,temperate,1.707,0.1283,False,15.04,44.38,1009.79,512.4,attention,normal,normal,attention,0.4001
commercial,concrete,75,775.4,coastal,6.971,0.6524,True,22.9,65.14,1017.82,489.5,critical,normal,normal,critical,0.8102
industrial,concrete,79,335.1,coastal,1.239,0.0946,False,21.93,67.32,1017.86,414.5,normal,normal,normal,normal,0.3562
residential,wood,82,347.0,continental,3.819,0.4067,False,-5.09,74.33,1019.08,355.2,critical,attention,normal,critical,0.5982
residential,brick,17,1151.3,arid,0.061,0.0093,False,31.02,25.09,1015.7,374.3,normal,normal,normal,normal,0.0107
residential,mixed,29,1277.3,coastal,0.086,0.0,False,18.39,72.77,1006.82,305.2,normal,attention,normal,attention,0.1298
residential,concrete,21,4106.7,continental,0.404,0.0096,False,14.29,69.96,1030.56,496.5,normal,normal,normal,normal,0.1047
residential,concrete,63,1582.2,continental,2.252,0.187,False,20.44,67.4,1024.43,289.6,attention,normal,normal,attention,0.4724
commercial,brick,17,3766.6,temperate,0.239,0.0644,False,19.36,44.67,1020.02,510.4,normal,normal,normal,normal,0.1366
residential,wood,3,1371.3,coastal,0.0,0.0091,False,18.14,76.28,1002.4,295.5,normal,critical,normal,critical,0.0
residential,brick,53,2264.6,arid,0.096,0.0133,False,43.4,38.75,1009.55,334.4,normal,attention,normal,attention,0.1393
commercial,concrete,52,3009.0,continental,4.925,0.4664,False,0.8,84.67,1005.32,515.6,attention,attention,normal,critical,0.6697
industrial,mixed,98,3074.2,continental,2.587,0.2688,False,4.95,66.59,1015.95,254.7,attention,attention,normal,attention,0.4744
commercial,mixed,99,1325.6,temperate,4.553,0.3553,False,14.4,49.28,1016.43,478.6,critical,normal,normal,critical,0.6576
industrial,concrete,42,3180.6,temperate,0.656,0.0389,False,18.14,71.62,1018.33,379.7,normal,normal,normal,normal,0.2386
commercial,brick,39,536.7,temperate,3.036,0.3147,True,13.26,62.79,1013.02,484.8,attention,normal,normal,attention,0.5228
residential,wood,37,959.8,temperate,0.0,0.0314,False,8.35,49.78,1014.38,312.3,normal,normal,normal,normal,0.0
industrial,mixed,30,526.1,temperate,3.588,0.3405,False,27.08,50.68,1016.55,258.2,attention,normal,normal,attention,0.5845
residential,brick,43,910.2,temperate,3.586,0.2909,False,19.49,58.98,1009.0,284.1,attention,normal,normal,attention,0.5513
commercial,concrete,57,3819.5,coastal,0.845,0.0832,False,18.26,63.47,1008.26,360.0,normal,normal,normal,normal,0.2679
commercial,mixed,45,1438.9,temperate,1.974,0.1445,False,16.43,50.01,1014.62,483.5,attention,normal,normal,attention,0.41
residential,concrete,129,706.1,coastal,5.101,0.3806,False,13.62,64.4,1008.28,254.9,critical,normal,normal,critical,0.6741
residential,wood,87,1391.1,continental,3.375,0.2369,False,16.78,39.24,1020.52,271.5,attention,normal,normal,attention,0.5659
residential,brick,11,743.9,coastal,0.0,0.0307,False,15.13,62.55,1018.98,438.4,normal,normal,normal,normal,0.0
commercial,brick,64,3161.0,continental,0.796,0.0654,False,24.5,64.44,1032.87,564.2,normal,normal,normal,normal,0.2418
residential,concrete,71,4997.1,arid,3.253,0.2642,False,16.4,26.74,1014.35,393.7,attention,normal,normal,attention,0.5617
residential,brick,25,111.7,continental,0.749,0.0296,False,12.23,52.28,1024.2,237.6,normal,normal,normal,normal,0.2821
residential,brick,41,4421.5,temperate,1.841,0.1132,False,-1.5,55.68,1012.77,284.5,attention,normal,normal,attention,0.3813
historical,brick,55,2502.7,temperate,1.375,0.1121,False,22.83,68.27,1008.56,141.3,normal,normal,attention,attention,0.3181
residential,wood,46,229.7,coastal,2.002,0.1477,True,20.75,76.79,1024.37,428.1,attention,critical,normal,critical,0.4276
industrial,concrete,72,2224.4,temperate,2.688,0.2279,True,10.98,67.53,1019.81,171.5,attention,normal,attention,attention,0.4791
commercial,brick,57,4071.9,continental,1.773,0.0857,False,10.67,51.06,1012.75,489.0,normal,normal,normal,normal,0.402
commercial,mixed,50,3312.1,continental,1.836,0.1129,False,15.04,44.33,1021.61,422.4,attention,normal,normal,attention,0.3995
residential,brick,28,3001.4,temperate,0.135,0.0,False,13.3,57.0,1014.82,329.6,normal,normal,normal,normal,0.0753
commercial,concrete,34,4690.9,coastal,1.188,0.1475,False,17.63,68.03,1014.56,410.0,attention,normal,normal,attention,0.3218
residential,brick,13,2077.0,continental,0.0,0.0,False,19.9,63.42,1009.3,228.7,normal,normal,normal,normal,0.0798
commercial,wood,28,2961.9,temperate,0.0,0.0039,False,8.36,56.15,1013.39,525.6,normal,normal,normal,normal,0.0
commercial,brick,60,4059.2,continental,3.091,0.2485,False,26.84,56.34,1012.27,347.7,attention,normal,normal,attention,0.5054
commercial,mixed,17,2554.5,continental,1.372,0.1011,False,3.54,34.62,1014.7,506.3,normal,normal,normal,normal,0.3595
historical,brick,36,2743.3,coastal,0.0,0.0,False,28.32,50.22,1020.17,363.7,normal,normal,normal,normal,0.039
residential,concrete,103,3132.3,continental,5.995,0.4644,False,21.7,67.87,1025.48,436.5,critical,normal,normal,critical,0.7381
residential,wood,56,1965.7,arid,1.797,0.1641,False,29.76,39.45,1008.78,400.9,attention,normal,normal,attention,0.3869
residential,concrete,31,4039.7,temperate,0.408,0.0304,False,17.68,56.62,1012.64,402.5,normal,normal,normal,normal,0.1497
residential,brick,5,1671.2,continental,0.245,0.0,False,14.22,34.29,1018.77,425.0,normal,normal,normal,normal,0.0318
residential,wood,51,3231.5,temperate,4.966,0.3619,False,10.54,71.95,1005.89,213.7,critical,attention,normal,critical,0.6612
commercial,concrete,73,3791.6,temperate,2.212,0.2107,False,7.86,67.78,1015.94,508.1,attention,normal,normal,attention,0.4269
residential,concrete,89,4455.6,continental,0.851,0.1219,False,9.26,77.01,1017.47,268.1,attention,attention,normal,attention,0.2618
residential,wood,22,314.0,arid,0.08,0.0,False,32.75,15.11,1022.09,466.7,normal,normal,normal,normal,0.1226
residential,concrete,83,1532.1,temperate,1.514,0.1692,False,10.79,56.38,1015.09,376.3,attention,normal,normal,attention,0.4036
commercial,mixed,41,4170.2,arid,2.432,0.1607,False,23.63,27.42,1003.55,556.9,attention,normal,normal,attention,0.4526
industrial,concrete,100,2889.0,continental,2.497,0.1849,False,13.08,63.19,1021.83,349.9,attention,normal,normal,attention,0.4565
commercial,brick,21,1041.3,temperate,0.05,0.0233,False,4.59,61.49,1013.82,492.1,normal,normal,normal,normal,0.1616
industrial,concrete,81,2587.1,temperate,3.754,0.2852,False,16.61,65.1,1005.72,510.1,attention,normal,normal,attention,0.5826
residential,wood,3,1169.6,continental,0.0,0.0,False,1.11,56.27,1008.75,331.4,normal,normal,normal,normal,0.0
commercial,concrete,28,127.1,temperate,0.2,0.0201,False,16.69,62.84,1013.28,524.8,normal,normal,normal,normal,0.0875
residential,concrete,45,1435.1,continental,7.987,0.6456,False,4.14,50.48,1027.36,312.1,critical,normal,normal,critical,0.8551
